scheme_name,category,gender,min_age,max_age,income_limit,caste,occupation,education,marital_status,district,benefit_amount,benefit_type,description
Kalaignar Magalir Urimai Thogai,Women Welfare,Female,21,60,200000,Any,Any,Any,Any,Any,12000,Cash (Annual),Rs.1000/month to women heads of household
Amma Two Wheeler Scheme,Women Welfare,Female,18,45,250000,Any,Student/Employee,10th Pass,Any,Any,50000,Subsidised Loan,Subsidised two-wheeler loan for working women and students
Tamil Nadu Maternity Benefit Scheme,Women Welfare,Female,18,45,200000,Any,Any,Any,Married,Any,18000,Cash,Nutritional and financial support during pregnancy
Dr. Muthulakshmi Reddy Maternity Benefit Scheme,Women Welfare,Female,18,42,200000,Any,Any,Any,Married,Any,18000,Cash,"Rs.18,000 cash assistance for pregnant women"
Marriage Assistance Scheme (Moovalur),Women Welfare,Female,18,30,150000,Any,Any,Any,Single,Any,50000,Cash + Gold,"Rs.50,000 + 8g gold for marriage of girls from poor families"
Cradle Baby Scheme,Women Welfare,Female,18,45,100000,Any,Any,Any,Any,Any,5000,Cash,Support for mothers who surrender female infants to govt care
Free Sewing Machine Scheme,Women Welfare,Female,21,55,100000,Any,Homemaker,Any,Any,Any,10000,In-Kind,Free sewing machine to enable self-employment for women
PM Kisan Samman Nidhi,Farmer Welfare,Any,18,75,200000,Any,Farmer,Any,Any,Any,6000,Cash (Annual),Rs.6000/year to small and marginal farmers
Free Distribution of Seeds and Fertilizers,Farmer Welfare,Any,18,70,150000,Any,Farmer,Any,Any,Any,5000,In-Kind,Free seeds and fertilizers to small farmers
Free Borewell Scheme for Farmers,Farmer Welfare,Any,21,65,200000,Any,Farmer,Any,Any,Any,100000,Subsidy,Subsidised borewell for agricultural use
Crop Insurance Scheme (PMFBY),Farmer Welfare,Any,18,70,300000,Any,Farmer,Any,Any,Any,25000,Insurance,Crop insurance for losses due to natural calamities
Kisan Credit Card Scheme,Farmer Welfare,Any,18,75,500000,Any,Farmer,Any,Any,Any,300000,Credit,Short-term credit support for farmers
Solar Pump Scheme for Farmers,Farmer Welfare,Any,21,65,200000,Any,Farmer,Any,Any,Any,90000,Subsidy,90% subsidy on solar pumps for irrigation
Coconut Development Board Subsidy,Farmer Welfare,Any,21,65,300000,Any,Farmer,Any,Any,Any,15000,Subsidy,Subsidies for coconut plantation and development
Free Boat and Net Scheme,Fisher Welfare,Any,18,60,100000,Any,Fisher,Any,Any,Any,75000,In-Kind,Free motorised boat and nets to traditional fishermen
Fishermen Accident Relief Scheme,Fisher Welfare,Any,18,65,150000,Any,Fisher,Any,Any,Any,200000,Insurance,Insurance for fishermen injured or killed at sea
Fishermen Housing Scheme,Fisher Welfare,Any,18,65,100000,Any,Fisher,Any,Any,Any,120000,In-Kind,Free housing for eligible fishermen families
Fishermen Saving-cum-Relief Scheme,Fisher Welfare,Any,18,60,100000,Any,Fisher,Any,Any,Any,2000,Cash (Annual),Annual savings and relief for traditional fishermen
Chief Minister's Breakfast Scheme,Education,Any,5,15,150000,Any,Student,Any,Any,Any,3600,In-Kind,Free nutritious breakfast for government school students
Free Laptop Scheme,Education,Any,15,25,200000,Any,Student,10th Pass,Any,Any,30000,In-Kind,Free laptop for Class 11/12 and college students
Pudhumai Penn Scheme,Education,Female,18,26,250000,Any,Student,10th Pass,Any,Any,12000,Cash (Annual),Rs.1000/month for girls pursuing higher education
CM Internship Programme,Education,Any,18,30,300000,Any,Unemployed,Graduate,Single,Any,10000,Cash,Internship stipend for unemployed graduates
SEED Scheme (Educated Unemployed),Education,Any,21,35,150000,Any,Unemployed,Graduate,Any,Any,12000,Cash (Annual),Financial support for educated unemployed youth
Free Bus Pass for Students,Education,Any,5,25,150000,Any,Student,Any,Any,Any,2400,In-Kind,Free bus pass for government school and college students
Dr. Ambedkar Law Entrance Scholarship,SC/ST Welfare,Any,17,25,200000,SC,Student,10th Pass,Any,Any,25000,Scholarship,Scholarship for SC students pursuing law
Free Housing Scheme (SC/ST),SC/ST Welfare,Any,21,65,100000,SC,Any,Any,Married,Any,130000,In-Kind,Free pucca house for SC/ST families
Adi Dravidar Welfare Scholarship,SC/ST Welfare,Any,10,25,200000,SC,Student,Any,Any,Any,15000,Scholarship,Scholarship for Adi Dravidar students
SC/ST Entrepreneur Support Scheme,SC/ST Welfare,Any,21,45,200000,SC,Self-employed,Any,Any,Any,100000,Loan/Subsidy,Subsidised loans for SC/ST entrepreneurs
Inter-Caste Marriage Incentive,SC/ST Welfare,Any,18,45,500000,SC,Any,Any,Married,Any,25000,Cash,Cash incentive for inter-caste marriage involving SC/ST
Disability Pension Scheme,Disability,Any,18,80,100000,Any,Any,Any,Any,Any,6000,Cash (Annual),Monthly pension for persons with disabilities
Free Tricycle and Aids Scheme,Disability,Any,5,80,150000,Any,Any,Any,Any,Any,15000,In-Kind,Free mobility aids for persons with disabilities
Transgender Welfare Scheme,Disability,Any,18,60,100000,Any,Any,Any,Any,Any,12000,Cash (Annual),Monthly support and welfare for transgender persons
Special School Assistance,Disability,Any,5,18,200000,Any,Student,Any,Any,Any,10000,In-Kind,Educational support for children with disabilities
CM Youth Sports Incentive,Unemployment,Any,15,30,200000,Any,Student,Any,Any,Any,10000,Cash,Cash incentive for youth excelling in sports
Self-Employment Loan Scheme (NEEDS),Unemployment,Any,21,45,150000,Any,Unemployed,Any,Any,Any,200000,Loan,Subsidised loans for self-employment ventures
Unorganised Workers Welfare Scheme,Unemployment,Any,18,60,150000,Any,Unorganised Worker,Any,Any,Any,2000,Cash (Annual),Annual welfare support for unorganised sector workers
Construction Workers Welfare Scheme,Unemployment,Any,18,60,150000,Any,Construction Worker,Any,Any,Any,3000,Cash (Annual),Welfare benefits for registered construction workers
TASMAC Toddy Tappers Welfare Scheme,Unemployment,Any,21,65,100000,Any,Toddy Tapper,Any,Any,Any,5000,Cash (Annual),Annual welfare support for registered toddy tappers
Old Age Pension Scheme (IGNOAPS),Old Age,Any,60,100,200000,Any,Any,Any,Any,Any,6000,Cash (Annual),Monthly pension for senior citizens above 60
Widow Pension Scheme,Old Age,Female,18,80,100000,Any,Any,Any,Widowed,Any,6000,Cash (Annual),Monthly pension for widows
CMCHIS – Chief Minister's Health Insurance,Old Age,Any,18,80,500000,Any,Any,Any,Any,Any,500000,Health Insurance,Health insurance up to Rs.5 lakh per family per year
